country,latitude,longitude,year,t2m_celsius,source
Algeria,28.0,3.0,202303,20.59,NASA POWER
Algeria,28.0,3.0,202304,24.51,NASA POWER
Algeria,28.0,3.0,202305,28.32,NASA POWER
Algeria,28.0,3.0,202306,33.88,NASA POWER
Algeria,28.0,3.0,202307,37.25,NASA POWER
Algeria,28.0,3.0,202308,35.52,NASA POWER
Algeria,28.0,3.0,202309,33.37,NASA POWER
Algeria,28.0,3.0,202310,27.31,NASA POWER
Algeria,28.0,3.0,202311,20.71,NASA POWER
Algeria,28.0,3.0,202312,13.26,NASA POWER
Algeria,28.0,3.0,202313,25.07,NASA POWER
Algeria,28.0,3.0,202401,13.8,NASA POWER
Algeria,28.0,3.0,202402,15.34,NASA POWER
Algeria,28.0,3.0,202403,20.01,NASA POWER
Algeria,28.0,3.0,202404,24.46,NASA POWER
Algeria,28.0,3.0,202405,30.43,NASA POWER
Algeria,28.0,3.0,202406,36.92,NASA POWER
Algeria,28.0,3.0,202407,37.29,NASA POWER
Algeria,28.0,3.0,202408,35.69,NASA POWER
Algeria,28.0,3.0,202409,32.58,NASA POWER
Algeria,28.0,3.0,202410,27.79,NASA POWER
Algeria,28.0,3.0,202411,20.58,NASA POWER
Algeria,28.0,3.0,202412,12.59,NASA POWER
Algeria,28.0,3.0,202413,25.65,NASA POWER
American Samoa,-14.3333,-170.0,201501,28.52,NASA POWER
American Samoa,-14.3333,-170.0,201502,28.37,NASA POWER
American Samoa,-14.3333,-170.0,201503,28.38,NASA POWER
American Samoa,-14.3333,-170.0,201504,28.18,NASA POWER
American Samoa,-14.3333,-170.0,201505,27.96,NASA POWER
American Samoa,-14.3333,-170.0,201506,27.34,NASA POWER
American Samoa,-14.3333,-170.0,201507,26.62,NASA POWER
American Samoa,-14.3333,-170.0,201508,25.93,NASA POWER
American Samoa,-14.3333,-170.0,201509,26.11,NASA POWER
American Samoa,-14.3333,-170.0,201510,26.43,NASA POWER
American Samoa,-14.3333,-170.0,201511,27.68,NASA POWER
American Samoa,-14.3333,-170.0,201512,27.62,NASA POWER
American Samoa,-14.3333,-170.0,201513,27.42,NASA POWER
American Samoa,-14.3333,-170.0,201601,28.41,NASA POWER
American Samoa,-14.3333,-170.0,201602,28.73,NASA POWER
American Samoa,-14.3333,-170.0,201603,28.54,NASA POWER
American Samoa,-14.3333,-170.0,201604,28.4,NASA POWER
American Samoa,-14.3333,-170.0,201605,27.74,NASA POWER
American Samoa,-14.3333,-170.0,201606,27.4,NASA POWER
American Samoa,-14.3333,-170.0,201607,26.78,NASA POWER
American Samoa,-14.3333,-170.0,201608,27.17,NASA POWER
American Samoa,-14.3333,-170.0,201609,27.58,NASA POWER
American Samoa,-14.3333,-170.0,201610,28.06,NASA POWER
American Samoa,-14.3333,-170.0,201611,28.12,NASA POWER
American Samoa,-14.3333,-170.0,201612,28.51,NASA POWER
American Samoa,-14.3333,-170.0,201613,27.95,NASA POWER
American Samoa,-14.3333,-170.0,201701,28.79,NASA POWER
